Date_NodeID	0
2026050700	100.50
2026050701	100.35
2026050702	100.24
2026050703	100.50
2026050704	100.55
2026050705	10.63
2026050706	10.60
2026050707	10.46
2026050708	10.35
2026050709	10.34
2026050710	10.45
2026050711	0.00
2026050712	0.00
2026050713	0.00
2026050714	0.00
2026050715	0.00
2026050716	0.00
2026050717	0.00
2026050718	0.00
2026050719	0.00
2026050720	1.91
2026050721	1.79
2026050722	1.88
2026050723	2.01
2026050800	4.94
2026050801	9.56
2026050802	1.40
2026050803	2.11
2026050804	1.01
2026050805	1.58
2026050806	5.00
2026050807	6.00
2026050808	0.00
2026050809	0.00
2026050810	0.00
2026050811	0.00
2026050812	0.00
2026050813	0.00
2026050814	0.00
2026050815	0.00
2026050816	4.00
2026050817	0.00
2026050818	0.00
2026050819	0.00
2026050820	0.00
2026050821	0.00
2026050822	0.00
2026050823	0.00
